X,Y,Z
-192.0847,185.2262,-5.2344
-191.6292,185.5711,-5.2344
-191.4536,185.3958,-5.2344
-191.2349,184.9123,-5.2344
-190.9364,184.2942,-5.2344
-190.6239,183.7104,-5.2344
-190.9442,-193.0053,-5.2344
-191.1940,-192.7583,-5.2344
-191.3755,-192.4480,-5.2344
-191.4396,-192.1133,-5.2344
-191.3747,-191.7283,-5.2344
-191.2263,-191.2627,-5.2344
-190.8182,-191.1292,-5.2344
191.3423,-191.6174,-5.2344
191.4340,-192.0211,-5.2344
191.4049,-192.3648,-5.2344
191.2485,-192.6821,-5.2344
191.0137,-192.9519,-5.2344
190.7143,-193.1162,-5.2344
190.6235,-193.1403,-5.2344
190.9364,184.2942,-5.2344
191.2349,184.9123,-5.2344
191.4536,185.3958,-5.2344
191.6292,185.5711,-5.2344
192.0847,185.2262,-5.2344
191.8853,184.7171,-5.4326
192.7738,184.4506,-5.4326
-191.8853,184.7171,-5.4326
-191.4317,185.0603,-5.4326
-191.2566,184.8823,-5.4326
-191.0380,184.3970,-5.4326
-190.7397,183.7777,-5.4326
-190.4256,183.1896,-5.4326
-190.7461,-192.8658,-5.4326
-190.9958,-192.6194,-5.4326
-191.1768,-192.3095,-5.4326
-191.2403,-191.9749,-5.4326
-191.1750,-191.5898,-5.4326
-191.0264,-191.1239,-5.4326
-190.0182,-190.9904,-5.4326
191.1425,-191.4788,-5.4326
191.2347,-191.8827,-5.4326
191.2061,-192.2264,-5.4326
191.0502,-192.5433,-5.4326
190.8156,-192.8125,-5.4326
190.5161,-192.9763,-5.4326
190.4252,-193.0002,-5.4326
190.7397,183.7777,-5.4326
191.0380,184.3970,-5.4326
191.2566,184.8823,-5.4326
191.4317,185.0603,-5.4326
191.8853,184.7171,-5.4326
191.6859,184.2070,-5.6309
192.5751,183.9399,-5.6309
-191.6859,184.2070,-5.6309
-191.2342,184.5483,-5.6309
-191.0597,184.3677,-5.6309
-190.8411,183.8807,-5.6309
-190.5431,183.2600,-5.6309
-190.2270,182.1398,-5.6309
-190.5481,-192.7263,-5.6309
-190.7976,-192.4805,-5.6309
-190.9781,-192.1711,-5.6309
-191.0411,-191.8366,-5.6309
-190.9753,-191.4513,-5.6309
-190.8264,-190.9852,-5.6309
-190.2182,-190.8516,-5.6309
190.9428,-191.3403,-5.6309
191.0353,-191.7443,-5.6309
191.0072,-192.0880,-5.6309
190.8520,-192.4045,-5.6309
190.6176,-192.6732,-5.6309
190.3179,-192.8363,-5.6309
190.2270,-192.8602,-5.6309
190.5431,183.2600,-5.6309
190.8411,183.8807,-5.6309
191.0597,184.3677,-5.6309
191.2342,184.5483,-5.6309
191.6859,184.2070,-5.6309
191.4865,183.6958,-5.8291
192.3763,183.4281,-5.8291
-191.4865,183.6958,-5.8291
-191.0367,184.0351,-5.8291
-190.8627,183.8520,-5.8291
-190.6443,183.3632,-5.8291
-190.3464,182.7413,-5.8291
-190.0287,181.2798,-5.8291
-190.3500,-192.5867,-5.8291
-190.5994,-192.3416,-5.8291
-190.7795,-192.0326,-5.8291
-190.8419,-191.6982,-5.8291
-190.7757,-191.3128,-5.8291
-190.6264,-190.8464,-5.8291
-190.4182,-190.7127,-5.8291
190.7430,-191.2017,-5.8291
190.8360,-191.6059,-5.8291
190.8084,-191.9496,-5.8291
190.6537,-192.2658,-5.8291
190.4195,-192.5338,-5.8291
190.1198,-192.6964,-5.8291
190.0287,-192.7202,-5.8291
190.3464,182.7413,-5.8291
190.6443,183.3632,-5.8291
190.8627,183.8520,-5.8291
191.0367,184.0351,-5.8291
191.4865,183.6958,-5.8291
191.2871,183.1834,-6.0274
192.1776,182.9152,-6.0274
-191.2871,183.1834,-6.0274
-190.8393,183.5209,-6.0274
-190.6657,183.3351,-6.0274
-190.4474,182.8445,-6.0274
-190.1498,182.2214,-6.0274
-189.8305,181.4199,-6.0274
-190.1519,-192.4472,-6.0274
-190.4012,-192.2026,-6.0274
-190.5808,-191.8941,-6.0274
-190.6426,-191.5598,-6.0274
-190.5760,-191.1743,-6.0274
-190.4265,-190.7077,-6.0274
-189.6182,-190.5739,-6.0274
190.5433,-191.0631,-6.0274
190.6366,-191.4675,-6.0274
190.6096,-191.8112,-6.0274
190.4554,-192.1270,-6.0274
190.2215,-192.3944,-6.0274
189.9216,-192.5565,-6.0274
189.8305,-192.5801,-6.0274
190.1498,182.2214,-6.0274
190.4474,182.8445,-6.0274
190.6657,183.3351,-6.0274
190.8393,183.5209,-6.0274
191.2871,183.1834,-6.0274
191.0877,182.6699,-6.2256
191.9789,182.4011,-6.2256
-191.0877,182.6699,-6.2256
-190.6418,183.0054,-6.2256
-190.4688,182.8171,-6.2256
-190.2506,182.3247,-6.2256
-189.9532,181.7003,-6.2256
-189.6322,180.5599,-6.2256
-189.9539,-192.3076,-6.2256
-190.2030,-192.0637,-6.2256
-190.3822,-191.7557,-6.2256
-190.4434,-191.4215,-6.2256
-190.3763,-191.0358,-6.2256
-190.2265,-190.5689,-6.2256
-189.8182,-190.4351,-6.2256
190.3435,-190.9246,-6.2256
190.4372,-191.3292,-6.2256
190.4108,-191.6728,-6.2256
190.2571,-191.9882,-6.2256
190.0234,-192.2550,-6.2256
189.7234,-192.4166,-6.2256
189.6322,-192.4401,-6.2256
189.9532,181.7003,-6.2256
190.2506,182.3247,-6.2256
190.4688,182.8171,-6.2256
190.6418,183.0054,-6.2256
191.0877,182.6699,-6.2256
190.8883,182.1552,-6.4239
191.7801,181.8859,-6.4239
-190.8883,182.1552,-6.4239
-190.4443,182.4889,-6.4239
-190.2718,182.2979,-6.4239
-190.0537,181.8038,-6.4239
-189.7565,181.1781,-6.4239
-189.4340,179.7000,-6.4239
-189.7558,-192.1681,-6.4239
-190.0048,-191.9248,-6.4239
-190.1835,-191.6172,-6.4239
-190.2442,-191.2831,-6.4239
-190.1767,-190.8973,-6.4239
-190.0266,-190.4302,-6.4239
-189.0182,-190.2963,-6.4239
190.1438,-190.7860,-6.4239
190.2379,-191.1908,-6.4239
190.2120,-191.5344,-6.4239
190.0588,-191.8494,-6.4239
189.8253,-192.1156,-6.4239
189.5252,-192.2766,-6.4239
189.4340,-192.3000,-6.4239
189.7565,181.1781,-6.4239
190.0537,181.8038,-6.4239
190.2718,182.2979,-6.4239
190.4443,182.4889,-6.4239
190.8883,182.1552,-6.4239
190.6889,181.6394,-6.6221
191.5814,181.3696,-6.6221
-190.6889,181.6394,-6.6221
-190.2469,181.9711,-6.6221
-190.0749,181.7775,-6.6221
-189.8569,181.2817,-6.6221
-189.5599,180.6547,-6.6221
-189.2357,179.8400,-6.6221
-189.5577,-192.0286,-6.6221
-189.8067,-191.7859,-6.6221
-189.9848,-191.4787,-6.6221
